topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
3.6754523705427995e-4,3.6754523702791557e-4,0.06244862838055918,0.7506148217331489,3.6754523697486545e-4,3.6754523708114626e-4,3.6754523710142806e-4,3.675452370818505e-4,0.18436373322679955,3.6754523717087684e-4,text114
0.02285512563029134,0.4882456076322765,4.132985092856489e-4,4.1329850925846503e-4,4.132985093639417e-4,4.1329850931445274e-4,4.132985094079122e-4,4.132985093214429e-4,4.1329850919520443e-4,0.4860061771722851,text115
3.805061823010736e-4,3.805061824648181e-4,3.8050618244663486e-4,3.80506182360938e-4,0.5355378229187631,0.11077109716934155,3.8050618243419006e-4,0.24706495383069207,3.8050618240485713e-4,0.10434308898679083,text116
3.525350111315989e-4,3.525350112536398e-4,0.7180344439069399,0.22692470027781547,3.5253501111182566e-4,3.5253501126777416e-4,3.5253501120064757e-4,0.052573110736881985,3.525350111950366e-4,3.5253501120207823e-4,text117
3.525350111117492e-4,0.22742479625599057,3.5253501108462986e-4,0.4698789900195863,0.30022846864607156,3.525350112853201e-4,3.525350111880443e-4,3.525350112705296e-4,3.525350112013874e-4,3.5253501120997534e-4,text118
3.771809981620779e-4,3.771809982796098e-4,3.771809981677913e-4,0.31907256785591864,3.7718099822883837e-4,0.6779099841581661,3.7718099825213624e-4,3.7718099831941847e-4,3.771809983553973e-4,3.771809981500219e-4,text119
2.869172860307616e-4,0.84197574378047,2.86917286158814e-4,0.1557289179309151,2.8691728606634756e-4,2.86917286090075e-4,2.869172861323876e-4,2.8691728610456027e-4,2.869172859874424e-4,2.8691728604447037e-4,text12
4.1729437173558277e-4,0.25724955343579853,4.1729437179101005e-4,4.1729437178440596e-4,4.1729437169723556e-4,4.1729437199811766e-4,0.25720195138170976,0.2920388455500468,4.172943717851933e-4,0.1910058834016534,text120
3.944146376207518e-4,0.5020870259119024,3.944146378939686e-4,3.944146378566093e-4,3.9441463792972494e-4,0.3656673532250073,3.9441463785100145e-4,0.1294847183985081,3.9441463765844086e-4,3.944146377717588e-4,text121
4.1729437185713007e-4,4.1729437177358443e-4,0.07750767420701483,0.23267459077186717,4.1729437183019177e-4,0.5133272036447588,4.1729437177832375e-4,4.172943717066838e-4,4.172943717510644e-4,0.17398676514566228,text122
